Location,WindGustDir,WindDir9am,WindDir3pm,RainToday
Albury,W,W,WNW,No
Albury,WNW,NNW,WSW,No
Albury,WSW,W,WSW,No
Albury,NE,SE,E,No
Albury,W,ENE,NW,No
Albury,WNW,W,W,No
Albury,W,SW,W,No
Albury,W,SSE,W,No
Albury,NNW,SE,NW,No
Albury,W,S,SSE,Yes
Albury,N,SSE,ESE,No
Albury,NNE,NE,ENE,Yes
Albury,W,NNW,NNW,Yes
Albury,SW,W,SSW,Yes
Albury,ENE,SSW,E,No
Albury,W,N,WNW,Yes
Albury,SSE,WSW,SW,Yes
Albury,SSE,SE,NNW,No
Albury,S,SE,SE,No
Albury,NE,NE,N,No
Albury,WNW,W,W,No
Albury,N,ESE,NW,No
Albury,W,E,W,No
Albury,WSW,SE,WSW,No
Albury,WNW,N,WNW,No
Albury,WNW,NW,WSW,No
Albury,WNW,WSW,SW,Yes
Albury,W,WNW,WNW,No
Albury,WNW,W,WNW,No
Albury,W,WSW,SSW,No
Albury,SSE,SSE,E,No
Albury,WNW,SSE,NW,No
Albury,WNW,ENE,NW,No
Albury,W,SE,WNW,No
Albury,W,E,W,No
Albury,W,W,WSW,No
Albury,NE,SSE,S,No
Albury,NE,NNE,E,No
Albury,S,SSE,N,No
Albury,SW,SE,WSW,No
Albury,NNW,SE,NW,No
Albury,NW,SSE,SSW,No
Albury,WNW,W,W,No
Albury,SW,WSW,SW,No
Albury,SE,SE,SW,No
Albury,WNW,ENE,SSW,No
Albury,WNW,SSE,NNE,No
Albury,NNW,SSE,WNW,No
Albury,NNW,NE,WSW,No
Albury,NW,N,NNW,No
Albury,WNW,S,NW,Yes
Albury,W,W,W,No
Albury,WSW,ESE,SSE,No
Albury,S,SSE,WSW,No
Albury,NNE,SE,NNW,No
Albury,N,E,NNE,No
Albury,SW,ESE,S,No
Albury,NNE,ESE,SE,No
Albury,ESE,ESE,SW,No
Albury,SW,SE,E,No
Albury,SW,NE,NW,No
Albury,WSW,SSE,S,No
Albury,W,SE,W,No
Albury,NNW,SE,NW,No
Albury,NW,N,W,No
Albury,SE,SW,WSW,No
Albury,SSE,SSE,SE,No
Albury,SSE,SSE,E,No
Albury,SE,SSE,NE,No
Albury,SSE,SE,SSE,Yes
Albury,NNE,SSE,SSW,No
Albury,E,SE,ESE,No
Albury,N,SSE,ENE,No
Albury,NW,ENE,SW,No
Albury,WSW,SE,WSW,No
Albury,SSW,NNW,SSE,No
Albury,SSE,SSE,S,No
Albury,NW,S,WNW,No
Albury,NW,SE,NW,No
Albury,WNW,SW,WNW,No
Albury,ESE,ESE,S,No
Albury,W,W,WSW,No
Albury,NNW,S,ENE,No
Albury,WNW,NE,NNE,No
Albury,WNW,W,WNW,No
Albury,SW,WSW,W,No
Albury,W,S,W,No
Albury,SSE,E,SSE,No
Albury,NNE,SSE,NE,No
Albury,NE,ESE,E,No
Albury,NE,NE,N,Yes
Albury,W,ENE,S,No
Albury,SW,E,N,Yes
Albury,WNW,W,NW,Yes
Albury,W,S,WNW,No
Albury,WNW,SSE,WSW,No
Albury,NW,SSE,NW,No
Albury,WSW,S,SW,No
Albury,SSE,NE,N,No
Albury,NE,E,NNE,No
Albury,S,SSE,WNW,No
Albury,ENE,SSE,SSE,No
Albury,NNW,N,N,No
Albury,WSW,S,SSW,No
Albury,W,E,NNE,Yes
Albury,WSW,E,NW,No
Albury,W,SSE,WSW,No
Albury,SE,S,S,No
Albury,SSE,SSE,SSE,No
Albury,ENE,ESE,S,No
Albury,W,SE,NE,No
Albury,W,S,E,Yes
Albury,NNE,ENE,SSW,No
Albury,W,NW,W,No
Albury,WNW,ENE,W,No
Albury,W,SSE,W,No
Albury,SE,SE,SE,No
Albury,SSE,SE,SE,No
